,Company,TypeName,Ram,Weight,Price,GPU Brand,ppi,TouchScreen,IPS,CPU Brand,SSD,HDD
168,Acer,Notebook,8,3.0,45501.12,Nvidia,127.33567783598265,0,1,Intel Core i5,256,0
169,HP,Notebook,4,1.49,40173.12,Intel,165.6321222979323,0,1,Intel Core i5,0,500
171,HP,Notebook,6,2.71,37242.72,AMD,127.33567783598265,0,1,Intel Core i5,0,2000
172,Lenovo,Notebook,4,2.2,16463.52,AMD,100.45467278896234,0,0,AMD Processor,0,500
174,HP,Notebook,8,2.5,49177.44,Nvidia,127.33567783598265,0,0,Intel Core i5,256,0
175,Dell,Notebook,8,2.3,24455.52,Intel,100.45467278896234,0,0,Intel Core i3,0,1000
176,Acer,Notebook,4,2.1,23922.72,Intel,100.45467278896234,0,0,Intel Core i3,128,0
178,Lenovo,Notebook,8,1.9,43316.64,AMD,141.21200170272436,0,0,Intel Core i5,128,1000
179,HP,2 in 1 Convertible,8,1.29,79866.72,Intel,331.2642445958646,1,1,Intel Core i5,256,0
180,Dell,Notebook,16,2.02,55890.72,AMD,141.21200170272436,0,0,Intel Core i7,256,2000
181,Dell,Ultrabook,8,1.23,74538.72,Intel,165.6321222979323,0,0,Intel Core i5,256,0
182,Lenovo,2 in 1 Convertible,16,1.4,98514.72,Intel,316.9650685701439,1,1,Intel Core i7,512,0
185,Dell,Notebook,16,2.77,82530.72,Nvidia,127.33567783598265,1,0,Intel Core i7,512,0
186,Dell,Notebook,16,2.06,127712.16,Nvidia,282.42400340544873,1,0,Intel Core i7,512,0
187,Lenovo,Gaming,8,2.4,41505.12,Nvidia,141.21200170272436,0,1,Intel Core i5,256,0
188,Acer,Ultrabook,8,1.12,52693.92,Intel,165.6321222979323,0,1,Intel Core i5,256,0
189,Dell,Notebook,8,2.8,57808.8,AMD,127.33567783598265,0,0,Intel Core i7,128,1000
190,Lenovo,2 in 1 Convertible,16,1.42,150462.72,Intel,209.80067661830358,1,0,Intel Core i7,1000,0
193,Lenovo,Notebook,8,2.8,37189.44,Nvidia,106.11306251128974,0,0,Intel Core i5,256,0
194,Dell,2 in 1 Convertible,8,1.62,44701.92,Intel,165.6321222979323,1,1,Intel Core i7,0,1000
195,HP,Notebook,8,2.5,48697.92,Nvidia,127.33567783598265,0,1,Intel Core i5,0,1000
197,HP,Notebook,8,1.49,51095.52,Intel,165.6321222979323,0,0,Intel Core i5,512,0
198,HP,Gaming,16,3.35,73473.12,Nvidia,127.33567783598265,0,1,Intel Core i7,256,1000
199,HP,Notebook,8,2.5,55677.6,Nvidia,127.33567783598265,0,0,Intel Core i7,256,0
200,Dell,Gaming,16,2.65,98301.6,Nvidia,282.42400340544873,0,1,Intel Core i7,512,1000
201,Lenovo,Notebook,4,2.1,26267.04,Intel,100.45467278896234,0,0,Intel Core i5,128,0
202,Acer,Notebook,8,2.23,39533.76,Nvidia,141.21200170272436,0,0,Intel Core i7,0,1000
203,Lenovo,Gaming,16,3.2,93186.72,Nvidia,141.21200170272436,0,1,Intel Core i7,512,1000
204,Dell,Workstation,16,2.8,162770.4,Nvidia,282.42400340544873,0,0,Other Intel Processor,256,1000
205,Lenovo,Gaming,16,2.4,74485.44,Nvidia,141.21200170272436,0,0,Intel Core i7,512,0
206,Dell,Notebook,6,2.3,23389.92,Intel,100.45467278896234,1,0,Intel Core i3,0,1000
207,Dell,Ultrabook,8,1.21,103842.72,Intel,331.2642445958646,1,1,Intel Core i7,256,0
208,Dell,Ultrabook,8,1.2,77202.72,Intel,165.6321222979323,0,0,Intel Core i7,256,0
209,Lenovo,Notebook,8,2.2,31808.16,Intel,100.45467278896234,0,0,Intel Core i5,256,0
210,Acer,Notebook,8,2.4,41505.12,Nvidia,141.21200170272436,0,0,Intel Core i7,0,1000
211,Asus,Gaming,16,2.9,74964.95999999999,Nvidia,127.33567783598265,0,0,Intel Core i7,256,1000
212,HP,Notebook,4,2.1,18594.72,Intel,141.21200170272436,0,0,Intel Core i3,0,500
213,Lenovo,Notebook,8,2.2,29250.72,Intel,141.21200170272436,0,0,Intel Core i5,256,0
215,Dell,Ultrabook,8,1.4,49650.5664,AMD,165.6321222979323,0,1,Intel Core i7,256,0
216,Lenovo,Notebook,8,2.8,31381.92,Nvidia,106.11306251128974,0,0,Intel Core i5,0,1000
217,HP,Notebook,8,1.63,54931.68,Nvidia,157.35051618303572,0,0,Intel Core i7,256,0
218,Dell,Ultrabook,8,1.6,61218.72,Intel,157.35051618303572,0,0,Intel Core i5,256,0
219,Dell,2 in 1 Convertible,16,1.62,68145.12,Intel,165.6321222979323,1,0,Intel Core i7,512,0
220,Dell,Notebook,8,2.2,36089.208,AMD,141.21200170272436,0,0,Intel Core i5,256,0
221,Lenovo,2 in 1 Convertible,8,1.74,47898.72,Intel,157.35051618303572,0,1,Intel Core i5,256,0
223,HP,Notebook,8,2.1,42304.32,Intel,141.21200170272436,0,0,Intel Core i5,0,1000
224,Dell,Gaming,16,4.42,130873.7952,Nvidia,127.33567783598265,0,1,Intel Core i7,256,1000
225,Acer,Notebook,8,2.2,44328.96,Nvidia,141.21200170272436,0,0,Intel Core i7,256,0
226,Dell,Notebook,16,2.3,45768.0528,AMD,141.21200170272436,1,0,Intel Core i7,0,1000
227,Asus,Notebook,8,2.0,40972.32,Nvidia,141.21200170272436,0,0,Intel Core i5,256,0
228,Asus,Notebook,8,2.69,47472.48,Nvidia,127.33567783598265,0,0,Intel Core i5,256,500
229,HP,Notebook,8,1.9,67612.31999999999,AMD,141.21200170272436,0,0,Intel Core i7,0,1000
230,Asus,Notebook,4,2.37,21258.1872,Intel,100.45467278896234,0,0,Intel Core i3,0,1000
231,HP,Notebook,4,2.1,17582.399999999998,AMD,100.45467278896234,0,0,AMD Processor,0,500
232,Lenovo,Gaming,16,3.2,79866.72,Nvidia,141.21200170272436,0,1,Intel Core i7,256,1000
233,Dell,Notebook,8,1.6,45767.52,Intel,157.35051618303572,0,0,Intel Core i5,256,0
234,Acer,2 in 1 Convertible,8,1.6,36709.92,Intel,165.6321222979323,1,1,Intel Core i5,256,0
235,Dell,Notebook,16,2.36,47898.72,AMD,141.21200170272436,0,0,Intel Core i7,256,0
236,Acer,Notebook,4,2.1,20779.2,Intel,100.45467278896234,0,0,Intel Core i3,0,1000
237,Asus,Notebook,4,2.2,30636.0,AMD,141.21200170272436,0,0,AMD Processor,128,1000
238,Asus,Gaming,32,4.7,207259.2,Nvidia,127.33567783598265,0,0,Intel Core i7,512,1000
239,Acer,Gaming,8,2.5,45074.88,Nvidia,141.21200170272436,0,1,Intel Core i5,256,0
240,Lenovo,Notebook,8,2.2,31381.92,Intel,100.45467278896234,0,0,Intel Core i3,128,0
241,Asus,Notebook,8,2.1,61005.6,Nvidia,127.33567783598265,0,0,Intel Core i7,128,1000
242,Asus,Notebook,8,2.69,47365.92,Nvidia,127.33567783598265,0,0,Intel Core i7,128,1000
243,Dell,Gaming,8,2.56,46833.12,Nvidia,141.21200170272436,0,0,Intel Core i5,256,0
244,Lenovo,2 in 1 Convertible,8,1.38,57489.12,Intel,158.48253428507195,1,1,Intel Core i7,256,0
245,Dell,Notebook,8,2.2,52480.8,AMD,141.21200170272436,0,0,Intel Core i7,128,2000
246,HP,Notebook,8,2.04,29783.52,Intel,100.45467278896234,1,0,Intel Core i5,0,1000
247,Asus,Gaming,16,3.6,159786.72,Nvidia,127.33567783598265,0,0,Intel Core i7,256,0
248,HP,Notebook,4,1.49,35964.0,Intel,165.6321222979323,0,1,Intel Core i5,0,500
250,Dell,2 in 1 Convertible,8,2.08,43636.32,Intel,141.21200170272436,1,1,Intel Core i7,0,1000
251,Asus,Gaming,16,4.3,95850.72,Nvidia,127.33567783598265,0,0,Intel Core i7,256,1000
252,Asus,Notebook,4,1.68,24988.32,AMD,100.45467278896234,0,0,AMD Processor,0,1000
253,Lenovo,2 in 1 Convertible,8,1.37,98514.72,Intel,158.48253428507195,1,1,Intel Core i7,512,0
254,Acer,Notebook,4,3.0,37402.56,Nvidia,127.33567783598265,0,1,Intel Core i3,256,0
255,Dell,Ultrabook,8,1.41,50562.72,Intel,165.6321222979323,0,0,Intel Core i5,256,0
256,HP,Notebook,8,1.91,23757.552,AMD,100.45467278896234,0,0,AMD Processor,128,0
257,HP,Notebook,16,2.9,56423.52,Nvidia,127.33567783598265,0,1,Intel Core i7,0,1000
259,Lenovo,2 in 1 Convertible,8,2.0,90522.72,Nvidia,141.21200170272436,1,1,Intel Core i7,512,0
260,Dell,Notebook,8,2.8,60845.76,AMD,127.33567783598265,0,0,Intel Core i7,128,1000
261,Lenovo,Notebook,4,2.2,23656.32,Intel,141.21200170272436,0,0,Intel Core i3,256,0
262,HP,Notebook,4,2.1,38468.16,Intel,141.21200170272436,0,1,Intel Core i5,0,500
263,Dell,Notebook,4,2.18,35004.96,Intel,141.21200170272436,0,0,Intel Core i5,0,1000
264,Dell,Notebook,8,2.24,30103.2,AMD,141.21200170272436,0,0,Intel Core i5,0,1000
265,Dell,2 in 1 Convertible,8,2.67,42570.72,Intel,141.21200170272436,1,0,Intel Core i5,256,0
266,Asus,2 in 1 Convertible,8,1.1,79866.72,Intel,165.6321222979323,1,0,Intel Core i7,1024,0
267,Lenovo,Notebook,4,2.2,24881.76,Intel,141.21200170272436,0,0,Intel Core i5,0,1000
268,HP,Notebook,8,2.5,54239.04,Nvidia,127.33567783598265,0,0,Intel Core i7,0,1000
269,Lenovo,Notebook,8,2.05,46886.4,Intel,141.21200170272436,0,0,Intel Core i7,256,0
271,Asus,Gaming,16,3.2,82530.72,AMD,127.33567783598265,0,0,AMD Processor,256,1000
272,Dell,Notebook,8,2.14,39164.5296,AMD,141.21200170272436,0,0,Intel Core i7,256,0
273,Lenovo,2 in 1 Convertible,16,1.36,133146.72,Intel,209.80067661830358,1,0,Intel Core i7,512,0
275,Dell,Notebook,12,2.3,37992.3696,Intel,100.45467278896234,0,0,Intel Core i7,0,1000
276,Dell,Notebook,8,2.8,58554.72,AMD,127.33567783598265,0,0,Intel Core i7,128,1000
277,Acer,Notebook,8,2.2,39693.6,Nvidia,141.21200170272436,0,1,Intel Core i7,0,1000
278,Lenovo,Notebook,4,2.8,26053.92,Intel,106.11306251128974,0,0,Intel Core i3,0,1000
279,Lenovo,Notebook,8,2.8,45234.72,Nvidia,127.33567783598265,0,0,Intel Core i7,0,2000
280,Lenovo,Notebook,6,2.8,45767.52,Nvidia,106.11306251128974,0,0,Intel Core i7,128,1000
281,Dell,Notebook,4,2.25,22803.84,AMD,141.21200170272436,0,0,Intel Core i3,0,1000
282,Lenovo,Gaming,8,2.5,44169.12,Nvidia,141.21200170272436,0,1,Intel Core i5,256,0
283,Lenovo,Notebook,6,2.2,30849.12,Intel,141.21200170272436,0,0,Intel Core i5,256,0
284,Acer,Notebook,8,3.0,50669.28,Nvidia,141.21200170272436,0,1,Intel Core i7,256,0
285,Acer,Notebook,12,2.15,35111.52,Intel,141.21200170272436,1,1,Intel Core i7,0,1000
286,Lenovo,Notebook,8,1.95,58448.16,Intel,141.21200170272436,0,1,Intel Core i7,256,0
287,Asus,Ultrabook,8,1.7,52054.56,Nvidia,141.21200170272436,0,0,Intel Core i5,256,0
288,Lenovo,Gaming,16,2.5,62817.12,Nvidia,141.21200170272436,0,1,Intel Core i7,256,1000
289,Lenovo,Notebook,8,2.2,35112.0528,Nvidia,141.21200170272436,0,0,Intel Core i7,0,1000
290,Acer,Notebook,2,2.19,10602.72,Intel,100.45467278896234,0,0,Other Intel Processor,16,0
291,Asus,Gaming,8,3.0,63243.36,Nvidia,127.33567783598265,0,0,Intel Core i7,0,1000
292,HP,Notebook,8,2.54,26053.92,Intel,106.11306251128974,0,0,Intel Core i3,0,1000
293,Dell,Notebook,8,2.0,97449.12,Nvidia,141.21200170272436,0,0,Intel Core i7,256,0
294,Lenovo,Notebook,8,2.05,39373.92,Intel,141.21200170272436,0,0,Intel Core i5,256,0
295,Lenovo,Gaming,8,3.2,69210.72,Nvidia,141.21200170272436,0,1,Intel Core i7,0,1000
296,Acer,Notebook,8,2.5,52161.12,Nvidia,141.21200170272436,0,0,Intel Core i7,256,0
297,Dell,Workstation,16,3.42,153705.3408,Nvidia,127.33567783598265,0,0,Intel Core i7,256,0
298,Lenovo,Notebook,6,2.4,26586.72,AMD,141.21200170272436,0,0,AMD Processor,0,1000
299,Asus,Ultrabook,16,1.63,78215.04,Nvidia,141.21200170272436,0,0,Intel Core i7,512,0
300,Asus,Notebook,4,1.3,27119.52,Intel,111.93520682198661,0,0,Intel Core i3,128,0
301,Asus,Gaming,16,2.9,113060.16,Nvidia,127.33567783598265,0,0,Intel Core i7,256,1000
302,Lenovo,Notebook,6,2.8,34578.72,Nvidia,106.11306251128974,0,0,Intel Core i5,0,1000
303,Lenovo,Notebook,8,2.2,29250.72,Nvidia,100.45467278896234,0,0,Intel Core i5,0,2000
304,Asus,Gaming,8,2.5,67399.2,Nvidia,141.21200170272436,0,0,Intel Core i7,128,1000
